Registrar profesor-Secretaria;;;;;;
;;;;;;
ID Flujo;Tipo;Paso a Paso;Resultado Esperado;Sistema;Actor;Estado
1;Inicio;Coordinador abre la pantalla de registro de profesor;Se muestra el formulario multistep dividido en 3 pasos;Pantalla lista y paso 1 visible;Coordinador;ok
2;Datos Personales;Completa campos: documento, nombre, apellido, correo, teléfono, dirección, ciudad, tipo sangre, ocupación, fecha nacimiento, discapacidad;Todos los campos obligatorios están completos;Campos validados;Coordinador;ok
3;Datos Personales;Selecciona sexo;Campo seleccionado correctamente;Campo validado;Coordinador;ok
4;Datos Personales;Selecciona tipo de documento;Campo seleccionado correctamente;Campo validado;Coordinador;ok
5;Datos Personales;Adjunta foto;Foto cargada correctamente;Foto aceptada;Coordinador;ok
6;Datos Personales;Acepta términos de tratamiento de datos;Registro de aceptación;Permite avanzar al paso 2;Coordinador;ok
7;Paso 1 ? Paso 2;Hace clic en “Siguiente”;Sistema muestra datos académicos/credenciales;Cambio de paso a 2;Coordinador;ok
8;Datos Académicos;Ingresa usuario (username);Usuario capturado correctamente;Campo validado;Coordinador;ok
9;Datos Académicos;Ingresa contraseña;Contraseña capturada correctamente;Campo validado;Coordinador;ok
10;Datos Académicos;Ingresa cargo;Cargo capturado correctamente;Campo validado;Coordinador;ok
11;Datos Académicos;Ingresa ARL;ARL capturado correctamente;Campo validado;Coordinador;ok
12;Paso 2 ? Paso 3;Hace clic en “Siguiente”;Sistema muestra revisión y carga de archivos opcionales;Cambio de paso a 3;Coordinador;ok
13;Archivos;Adjunta archivo EPS;Archivo cargado correctamente;Archivo validado;Coordinador;ok
14;Archivos;Adjunta archivo ARL;Archivo cargado correctamente;Archivo validado;Coordinador;ok
15;Archivos;Adjunta hoja de vida;Archivo cargado correctamente;Archivo validado;Coordinador;ok
16;Archivos;Adjunta acta de grado;Archivo cargado correctamente;Archivo validado;Coordinador;ok
17;Archivos;Adjunta RUT;Archivo cargado correctamente;Archivo validado;Coordinador;ok
18;Revisión;Verifica todos los datos y archivos;Todos los datos revisados y listos para registro;Visualización de revisión correcta;Coordinador;ok
19;Confirmación;Hace clic en “Finalizar”;Modal de confirmación aparece;Sistema solicita confirmación;Coordinador;ok
20;Confirmación;Cancela registro en modal;Sistema vuelve a revisión;Registro detenido;Coordinador;x
21;Confirmación;Confirma registro;Profesor registrado exitosamente, usuario y contraseña generados;Registro completo y mensaje de éxito mostrado;Coordinador;ok
22;Sin Foto;No adjunta foto;Sistema bloquea avance y muestra mensaje;Foto obligatoria;Coordinador;x
23;Sin Aceptación de Datos;No acepta términos de tratamiento;Sistema bloquea avance;Debe aceptar términos;Coordinador;x
24;Campos Vacíos Paso 1;Algún campo obligatorio vacío;Sistema bloquea avance y resalta campos faltantes;Validación de campos;Coordinador;x
25;Campos Vacíos Paso 2;Algún campo de usuario, contraseña, cargo o ARL vacío;Sistema bloquea avance y resalta campos faltantes;Validación de campos;Coordinador;x
26;Archivos Opcionales Vacíos;No adjunta EPS, ARL, hoja de vida, acta o RUT;Registro se realiza correctamente sin archivos;Permite finalizar sin archivos;Coordinador;ok
27;Error Archivo Inválido;Carga archivo no permitido (formato incorrecto);Sistema muestra mensaje de error y no lo acepta;Validación de formato;Coordinador;x
28;Error Conexión;Problema al enviar registro final;Sistema muestra mensaje de error de conexión;Registro no completado;Coordinador;x
