Enviar pqr acudiente;;;;;;
;;;;;;
ID Flujo;Tipo;Paso a Paso;Resultado Esperado;Sistema;Actor;Estado
1;Flujo normal;Acudiente abre la página de Enviar PQR;Se muestran los campos: Estudiante, Tipo de PQR, Descripción y Fecha;Página cargada correctamente;Acudiente;ok
2;Flujo normal;Se cargan los estudiantes asignados al acudiente;Lista de estudiantes visible en el select;Select poblado correctamente;Sistema;ok
3;Flujo alterno;No hay estudiantes asignados al acudiente;Se muestra mensaje “No se encontraron estudiantes asignados a este acudiente” y el select queda deshabilitado;Formulario sin estudiantes;Sistema;x
4;Flujo normal;Acudiente selecciona un estudiante, tipo de PQR, describe el caso y selecciona fecha;Los campos se llenan correctamente;Formulario listo para enviar;Acudiente;ok
5;Flujo alterno;Acudiente intenta enviar PQR sin completar todos los campos;Se muestra mensaje “Todos los campos son obligatorios”;PQR no enviada;Sistema;x
6;Flujo normal;Acudiente hace clic en “Enviar PQR”;Aparece ventana de confirmación con resumen de la PQR;Confirmación visible;Sistema;ok
7;Flujo alterno;Acudiente cancela la confirmación;No se envía la PQR;Formulario permanece igual;Acudiente;x
8;Flujo normal;Acudiente confirma el envío;PQR enviada correctamente y se muestra mensaje de éxito;Datos guardados en el sistema;Sistema;ok
9;Flujo alterno;Error de conexión o error del servidor al enviar la PQR;Se muestra mensaje de error “No se pudo enviar la PQR” o mensaje específico del servidor;PQR no enviada;Sistema;x
10;Flujo normal;Tras enviar correctamente, el formulario se limpia;Todos los campos vuelven a estar vacíos y mensaje de éxito mostrado;Formulario listo para nuevo envío;Sistema;ok
;;;;;;
;;;;;;
